Date,Open,Open
2023-03-01,17360.099609,2163.51123
2023-03-02,17421.5,2157.050293
2023-03-03,17451.25,2168.264648
2023-03-06,17680.349609,2215.199219
2023-03-08,17665.75,2223.229248
2023-03-09,17772.050781,2229.967285
2023-03-10,17443.800781,2161.203857
2023-03-13,17421.900391,2149.66626
2023-03-14,17160.550781,2104.439209
2023-03-15,17166.449219,2108.223633
2023-03-16,16994.650391,2070.28833
2023-03-17,17111.800781,2071.903564
2023-03-20,17066.599609,2044.444336
2023-03-21,17060.400391,2048.090088
2023-03-22,17177.449219,2109.054199
2023-03-23,17097.400391,2093.363281
2023-03-24,17076.199219,2072.36499
2023-03-27,16984.300781,2046.751831
2023-03-28,17031.75,2072.134277
2023-03-29,16977.300781,2066.596191
2023-03-31,17210.349609,2081.364258
2023-04-03,17427.949219,2164.434326
2023-04-05,17422.300781,2167.203125
2023-04-06,17533.849609,2139.651611
2023-04-10,17634.900391,2169.049316
2023-04-11,17704.800781,2154.28125
2023-04-12,17759.550781,2156.450195
2023-04-13,17807.300781,2171.818115
2023-04-17,17863.0,2238.228027
2023-04-18,17766.599609,2193.970215
2023-04-19,17653.349609,2158.942383
2023-04-20,17638.599609,2172.833496
2023-04-21,17639.75,2169.64917
2023-04-24,17707.550781,2192.124268
2023-04-25,17761.550781,2183.817139
2023-04-26,17767.300781,2195.816162
2023-04-27,17813.099609,2192.124268
2023-04-28,17950.400391,2198.585205
2023-05-02,18124.800781,2248.611816
2023-05-03,18113.800781,2256.734131
2023-05-04,18081.0,2234.720703
2023-05-05,18117.300781,2253.042236
2023-05-08,18120.599609,2261.349121
2023-05-09,18303.400391,2284.424316
2023-05-10,18313.599609,2298.269287
2023-05-11,18357.800781,2306.530029
2023-05-12,18273.75,2279.624512
2023-05-15,18339.300781,2298.177002
2023-05-16,18432.349609,2301.961182
2023-05-17,18300.449219,2273.348145
2023-05-18,18287.5,2260.933838
2023-05-19,18186.150391,2246.627441
2023-05-22,18201.099609,2247.50415
2023-05-23,18362.900391,2271.179199
2023-05-24,18294.800781,2257.564941
2023-05-25,18268.900391,2246.489014
2023-05-26,18368.349609,2268.733154
2023-05-29,18619.150391,2326.88208
2023-05-30,18606.650391,2326.512939
2023-05-31,18594.199219,2307.499268
2023-06-01,18579.400391,2289.177734
2023-06-02,18550.849609,2280.732178
2023-06-05,18612.0,2277.224854
2023-06-06,18600.800781,2292.223633
2023-06-07,18665.599609,2295.500244
2023-06-08,18725.349609,2313.037109
2023-06-09,18655.900391,2313.960205
2023-06-12,18595.050781,2284.885742
2023-06-13,18631.800781,2302.884277
2023-06-14,18744.599609,2326.88208
2023-06-15,18774.449219,2355.310547
2023-06-16,18723.300781,2363.063721
2023-06-19,18873.300781,2385.03125
2023-06-20,18752.349609,2351.387939
2023-06-21,18849.400391,2360.110107
2023-06-22,18853.599609,2359.187256
2023-06-23,18741.849609,2334.173828
2023-06-26,18682.349609,2313.960205
2023-06-27,18748.550781,2304.314941
2023-06-28,18908.150391,2319.498291
2023-06-30,19076.849609,2350.326416
2023-07-03,19246.5,2361.079346
2023-07-04,19406.599609,2422.874268
2023-07-05,19405.949219,2408.106201
2023-07-06,19385.699219,2377.693359
2023-07-07,19422.800781,2432.104248
2023-07-10,19400.349609,2481.85376
2023-07-11,19427.099609,2540.925781
2023-07-12,19497.449219,2553.293945
2023-07-13,19495.199219,2569.538818
2023-07-14,19493.449219,2538.249023
2023-07-17,19612.150391,2535.480225
2023-07-18,19787.5,2600.090088
2023-07-19,19802.949219,2612.089111
2023-07-20,19831.699219,2580.0
2023-07-21,19800.449219,2609.0
2023-07-24,19748.449219,2481.0
2023-07-25,19729.349609,2494.0
2023-07-26,19733.349609,2485.0
2023-07-27,19850.900391,2534.050049
2023-07-28,19659.75,2512.050049
2023-07-31,19666.349609,2527.850098
2023-08-01,19784.0,2555.0
2023-08-02,19655.400391,2509.199951
2023-08-03,19463.75,2475.300049
2023-08-04,19462.800781,2498.800049
2023-08-07,19576.849609,2521.0
2023-08-08,19627.199219,2528.0
2023-08-09,19578.800781,2504.850098
2023-08-10,19605.550781,2524.949951
2023-08-11,19554.25,2532.449951
2023-08-14,19383.949219,2539.0
2023-08-16,19369.0,2551.0
2023-08-17,19450.550781,2567.100098
2023-08-18,19301.75,2531.25
2023-08-21,19320.650391,2539.949951
2023-08-22,19417.099609,2516.899902
2023-08-23,19439.199219,2524.199951
2023-08-24,19535.150391,2539.899902
2023-08-25,19297.400391,2456.0
2023-08-28,19298.349609,2472.0
2023-08-29,19374.849609,2452.050049
2023-08-30,19433.449219,2432.0
2023-08-31,19375.550781,2423.0
2023-09-01,19258.150391,2406.550049
2023-09-04,19525.050781,2412.649902
2023-09-05,19564.650391,2420.0
2023-09-06,19581.199219,2421.100098
2023-09-07,19598.650391,2421.699951
2023-09-08,19774.800781,2440.0
2023-09-11,19890.0,2452.0
2023-09-12,20110.150391,2483.0
2023-09-13,19989.5,2440.0
2023-09-14,20127.949219,2460.0
2023-09-15,20156.449219,2468.0
2023-09-18,20155.949219,2440.050049
2023-09-20,19980.75,2423.050049
2023-09-21,19840.550781,2374.949951
2023-09-22,19744.849609,2376.0
2023-09-25,19678.199219,2350.399902
2023-09-26,19682.800781,2338.550049
2023-09-27,19637.050781,2343.5
2023-09-28,19761.800781,2383.0
2023-09-29,19581.199219,2341.800049
2023-10-03,19622.400391,2329.949951
2023-10-04,19446.300781,2309.0
2023-10-05,19521.849609,2319.25
2023-10-06,19621.199219,2317.050049
2023-10-09,19539.449219,2308.100098
2023-10-10,19565.599609,2306.550049
2023-10-11,19767.0,2314.449951
2023-10-12,19822.699219,2343.850098
2023-10-13,19654.550781,2340.0
2023-10-16,19737.25,2345.0
2023-10-17,19843.199219,2356.0
2023-10-18,19820.449219,2355.25
2023-10-19,19545.199219,2312.0
2023-10-20,19542.150391,2300.0
2023-10-23,19521.599609,2290.0
2023-10-25,19286.449219,2250.050049
2023-10-26,19027.25,2251.0
2023-10-27,18928.75,2240.0
2023-10-30,19053.400391,2274.0
2023-10-31,19232.949219,2328.0
2023-11-01,19064.050781,2289.149902
2023-11-02,19120.0,2313.949951
2023-11-03,19241.0,2327.199951
2023-11-06,19345.849609,2332.300049
2023-11-07,19404.050781,2334.050049
2023-11-08,19449.599609,2332.0
2023-11-09,19457.400391,2335.850098
2023-11-10,19351.849609,2305.550049
2023-11-13,19486.75,2322.899902
2023-11-15,19651.400391,2340.0
2023-11-16,19674.699219,2351.100098
2023-11-17,19674.75,2352.899902
2023-11-20,19731.150391,2348.550049
2023-11-21,19770.900391,2366.0
2023-11-22,19784.0,2375.0
2023-11-23,19828.449219,2388.199951
2023-11-24,19809.599609,2391.600098
2023-11-28,19844.650391,2393.899902
2023-11-29,19976.550781,2408.0
2023-11-30,20108.5,2394.699951
2023-12-01,20194.099609,2378.0
2023-12-04,20601.949219,2450.0
2023-12-05,20808.900391,2439.0
2023-12-06,20950.75,2447.100098
2023-12-07,20932.400391,2460.0
2023-12-08,20934.099609,2463.850098
2023-12-11,20965.300781,2456.0
2023-12-12,21018.550781,2460.0
2023-12-13,20929.75,2422.0
2023-12-14,21110.400391,2454.0
2023-12-15,21287.449219,2478.0
2023-12-18,21434.800781,2495.600098
2023-12-19,21477.650391,2555.0
2023-12-20,21543.5,2571.050049
2023-12-21,21033.949219,2527.0
2023-12-22,21295.849609,2559.600098
2023-12-26,21365.199219,2568.0
2023-12-27,21497.650391,2582.0
2023-12-28,21715.0,2589.800049
2023-12-29,21737.650391,2611.100098
2024-01-01,21727.75,2580.550049
2024-01-02,21751.349609,2585.0
2024-01-03,21661.099609,2610.0
2024-01-04,21605.800781,2588.0
2024-01-05,21705.75,2602.899902
2024-01-08,21747.599609,2610.0
2024-01-09,21653.599609,2600.0
2024-01-10,21529.300781,2577.0
2024-01-11,21688.0,2659.0
2024-01-12,21773.550781,2719.800049
2024-01-15,22053.150391,2750.0
2024-01-16,22080.5,2779.949951
2024-01-17,21647.25,2719.0
2024-01-18,21414.199219,2702.800049
2024-01-19,21615.199219,2752.0
2024-01-23,21716.699219,2743.5
2024-01-24,21185.25,2670.449951
2024-01-25,21454.599609,2685.899902
2024-01-29,21433.099609,2729.0
2024-01-30,21775.75,2919.899902
2024-01-31,21487.25,2808.0
2024-02-01,21780.650391,2870.0
2024-02-02,21812.75,2866.350098
2024-02-05,21921.050781,2921.5
2024-02-06,21825.199219,2883.699951
2024-02-07,22045.050781,2871.850098
2024-02-08,22009.650391,2900.0
2024-02-09,21727.0,2908.0
2024-02-12,21800.800781,2921.5
2024-02-13,21664.300781,2911.0
2024-02-14,21578.150391,2915.0
2024-02-15,21906.550781,2966.699951
2024-02-16,22020.300781,2952.949951
2024-02-19,22103.449219,2924.100098
2024-02-20,22099.199219,2950.050049
2024-02-21,22248.849609,2948.0
2024-02-22,22081.550781,2936.300049
2024-02-23,22290.0,2979.0
2024-02-26,22169.199219,2987.100098
2024-02-27,22090.199219,2966.050049
2024-02-28,22214.099609,2966.0
